$Csv : ,RUBY-4X

Depth,BH_FLAG,DT,FACIES,GR,LLD,NPHI,RHOB
M,,us/ft,,gAPI,ohm.m,m3/m3,g/cm3
1817.5224,1.0000,104.5726,4.0000,85.1660,1.9563,0.3193,2.1698
1817.6748,1.0000,102.3494,4.0000,85.0170,1.9804,0.3163,2.1615
1817.8272,1.0000,103.7949,4.0000,88.0890,1.9816,0.3260,2.1523
1817.9796,1.0000,106.7989,4.0000,90.4510,1.9497,0.3510,2.1415
1818.1320,1.0000,111.0003,4.0000,90.1960,1.8145,0.3863,2.1275
1818.2844,1.0000,117.9179,4.0000,89.8790,1.6307,0.4077,2.1069
1818.4368,1.0000,121.8585,4.0000,90.5500,1.4637,0.4290,2.0885
1818.5892,1.0000,122.7943,4.0000,90.0820,1.3832,0.4260,2.0855
1818.7416,1.0000,123.2093,4.0000,88.6340,1.3809,0.4197,2.0826
1818.8940,1.0000,122.5075,4.0000,88.3130,1.4126,0.4180,2.0841
1819.0464,1.0000,120.3486,4.0000,89.4470,1.5186,0.4160,2.0915
1819.1988,1.0000,116.3553,4.0000,92.2550,1.7416,0.4157,2.1026
1819.3512,1.0000,113.8886,4.0000,91.6770,1.9975,0.4207,2.1151
1819.5036,1.0000,111.6994,4.0000,90.5400,2.2071,0.4337,2.1183
1819.6560,1.0000,109.8143,4.0000,89.1850,2.2785,0.4400,2.1233
1819.8084,1.0000,107.4726,4.0000,88.6390,2.3018,0.4400,2.1233
1819.9608,1.0000,105.3627,4.0000,91.1220,2.3308,0.4156,2.1119
1820.1132,1.0000,104.0357,4.0000,91.6760,2.3787,0.3950,2.0905
1820.2656,1.0000,102.7491,4.0000,89.3910,2.4386,0.4070,2.0827
1820.4180,1.0000,101.8489,4.0000,88.6590,2.4882,0.4227,2.0749
1820.5704,1.0000,101.7218,4.0000,90.1100,2.4898,0.4390,2.0671
1820.7228,1.0000,103.3376,4.0000,92.0500,2.4414,0.4427,2.0658
1820.8752,1.0000,105.5104,4.0000,90.7360,2.3781,0.4503,2.0697
1821.0276,1.0000,108.1724,4.0000,89.8140,2.3111,0.4590,2.0736
1821.1800,1.0000,111.3404,4.0000,93.7100,2.2390,0.4590,2.0775
1821.3324,1.0000,115.6023,4.0000,96.5860,2.1651,0.4597,2.1052
1821.4848,1.0000,119.2073,4.0000,94.1520,2.1001,0.4620,2.1215
1821.6372,0.0000,121.5343,4.0000,91.6930,2.0539,0.4567,2.1426
1821.7896,0.0000,123.5966,4.0000,93.2220,2.0174,0.4390,2.1799
1821.9420,0.0000,125.5628,4.0000,94.9490,1.9839,0.4267,2.2323
1822.0944,1.0000,127.5514,4.0000,92.9070,1.9540,0.4127,2.2748
1822.2468,1.0000,127.7908,4.0000,90.2650,1.9267,0.4077,2.2858
1822.3992,1.0000,125.1744,4.0000,91.1850,1.9005,0.3980,2.3035
1822.5516,1.0000,122.0990,4.0000,92.4070,1.8751,0.3947,2.3139
1822.7040,1.0000,119.5833,4.0000,89.6950,1.8506,0.4217,2.3185
1822.8564,1.0000,119.5152,4.0000,86.7430,1.8251,0.4497,2.3212
1823.0088,1.0000,121.3071,4.0000,85.9880,1.7751,0.4520,2.3062
1823.1612,1.0000,123.0479,4.0000,86.0550,1.6891,0.4359,2.2978
1823.3136,1.0000,124.3255,4.0000,85.2210,1.5858,0.4000,2.2821
1823.4660,0.0000,125.3861,4.0000,84.6520,1.5230,0.4000,2.2750
1823.6184,0.0000,115.8092,4.0000,86.0020,1.5400,0.3973,2.2750
1823.7708,0.0000,103.0855,4.0000,88.0770,1.6093,0.3863,2.2773
1823.9232,1.0000,90.7879,4.0000,86.0440,1.7724,0.3489,2.2890
1824.0756,1.0000,84.2620,3.0000,77.5760,2.1422,0.2940,2.2865
1824.2280,1.0000,83.6621,3.0000,66.7330,2.7003,0.2817,2.1865
1824.3804,1.0000,82.7083,2.0000,59.7840,3.2951,0.2677,2.2180
1824.5328,1.0000,81.7211,2.0000,55.9160,3.7330,0.2627,2.2495
1824.6852,1.0000,81.3851,2.0000,52.2950,3.9555,0.2543,2.2811
1824.8376,1.0000,81.9745,2.0000,49.2060,4.0845,0.2470,2.3126
1824.9900,1.0000,83.8157,2.0000,46.6000,4.1560,0.2470,2.3126
1825.1424,1.0000,85.4736,2.0000,45.7140,4.1423,0.2450,2.3126
1825.2948,1.0000,86.0805,2.0000,47.7880,4.0857,0.2373,2.3126
1825.4472,1.0000,86.2946,2.0000,50.5930,4.0476,0.2250,2.3126
1825.5996,1.0000,85.4864,2.0000,49.8040,4.0717,0.2147,2.3126
1825.7520,1.0000,83.2033,2.0000,49.8040,4.1437,0.2135,2.3126
1825.9044,1.0000,80.7510,2.0000,47.3760,4.1977,0.2142,2.3126
1826.0568,1.0000,81.0691,2.0000,48.6340,4.1346,0.2263,2.3126
1826.2092,1.0000,83.8731,2.0000,51.7440,3.9275,0.2556,2.3006
1826.3616,1.0000,89.6105,3.0000,56.5960,3.6687,0.3164,2.2886
1826.5140,1.0000,101.1683,4.0000,67.4160,3.3585,0.3468,2.2766
1826.6664,1.0000,111.6415,4.0000,77.1370,2.9379,0.3934,2.1865
1826.8188,1.0000,114.4539,4.0000,78.9990,2.4801,0.3880,2.1414
1826.9712,1.0000,114.8523,4.0000,79.4590,2.0860,0.3778,2.0964
1827.1236,0.0000,116.0121,4.0000,80.3650,1.8891,0.3654,2.0829
1827.2760,0.0000,117.6902,4.0000,80.0860,1.7987,0.3898,2.0694
1827.4284,0.0000,111.4546,4.0000,81.6750,1.7256,0.4350,2.0559
1827.5808,0.0000,107.1688,4.0000,83.1360,1.6609,0.4320,2.0423
1827.7332,0.0000,104.1163,4.0000,83.0950,1.6049,0.4252,2.0423
1827.8856,0.0000,102.7027,4.0000,81.8400,1.5608,0.4365,2.0423
1828.0380,0.0000,101.9193,4.0000,81.0210,1.5662,0.4239,2.0514
1828.1904,0.0000,101.4785,4.0000,81.1110,1.6562,0.3746,2.0604
1828.3428,0.0000,100.1189,3.0000,75.0770,1.7732,0.2754,2.0694
1828.4952,0.0000,97.5549,2.0000,63.4160,1.8911,0.2422,2.0784
1828.6476,0.0000,94.8174,1.0000,53.3020,2.0121,0.2381,2.1144
1828.8000,0.0000,91.1404,2.0000,50.7680,2.1332,0.2363,2.1595
1828.9524,0.0000,88.3323,2.0000,52.5930,2.2301,0.2328,2.2045
1829.1048,0.0000,87.7394,1.0000,50.4790,2.2449,0.2249,2.2225
1829.2572,0.0000,87.6244,1.0000,46.8250,2.2032,0.2261,2.2315
1829.4096,0.0000,86.5426,1.0000,45.5370,2.1686,0.2270,2.2405
1829.5620,0.0000,85.1605,1.0000,45.1130,2.2101,0.2270,2.2495
1829.7144,0.0000,85.0735,1.0000,47.4760,2.3376,0.2242,2.2586
1829.8668,0.0000,85.5030,1.0000,50.2640,2.4829,0.2175,2.2622
1830.0192,0.0000,86.2099,1.0000,49.7550,2.5634,0.2163,2.2658
1830.1716,0.0000,87.5663,1.0000,47.8860,2.5299,0.2189,2.2694
1830.3240,0.0000,89.3337,1.0000,46.5410,2.4538,0.2237,2.2730
1830.4764,0.0000,90.3850,1.0000,44.2240,2.3617,0.2260,2.2405
1830.6288,0.0000,90.6759,1.0000,41.8920,2.2409,0.2260,2.2405
1830.7812,0.0000,91.1341,1.0000,39.1620,2.1042,0.2215,2.2405
1830.9336,0.0000,92.4956,1.0000,37.6480,1.9933,0.2240,2.2405
1831.0860,0.0000,95.4753,1.0000,39.9240,1.9560,0.2400,2.2405
1831.2384,0.0000,99.6224,2.0000,45.2240,1.9798,0.2690,2.2405
1831.3908,0.0000,105.1325,3.0000,54.9140,2.0163,0.3240,2.2105
1831.5432,0.0000,109.4568,4.0000,64.6490,2.0249,0.3855,2.1805
1831.6956,0.0000,110.3163,4.0000,69.4740,1.9989,0.4041,2.1505
1831.8480,0.0000,108.4981,4.0000,75.4990,1.9596,0.3794,2.1054
1832.0004,0.0000,105.3425,4.0000,80.7160,1.9847,0.3550,2.0604
1832.1528,0.0000,101.0749,4.0000,78.4670,2.1128,0.3418,2.0604
1832.3052,0.0000,97.4317,3.0000,72.4490,2.2905,0.3108,2.0604
1832.4576,0.0000,94.6832,3.0000,65.3260,2.4074,0.2713,2.1144
1832.6100,0.0000,92.4527,1.0000,53.7900,2.3931,0.2529,2.1685
1832.7624,0.0000,91.2897,1.0000,43.3300,2.2885,0.2348,2.1685
1832.9148,0.0000,90.5355,1.0000,40.7950,2.1837,0.2426,2.1403
1833.0672,0.0000,89.9100,1.0000,39.8240,2.1492,0.2548,2.1618
1833.2196,0.0000,89.2202,1.0000,38.3500,2.1848,0.2607,2.1824
1833.3720,0.0000,86.8245,1.0000,38.9910,2.2457,0.2488,2.2223
